titre,description,entreprise,lien,lieu
Développeur Python Junior,"Nous recherchons un developpeur Python junior pour rejoindre notre equipe backend. Vous travaillerez avec Django, Flask, PostgreSQL et participerez au developpement d'APIs REST. Connaissance de Git et des methodologies Agile appreciee. Profil debutant accepte avec stage ou premiere experience en Python.",Atlas Digital Solutions,https://example.com/offre/1,Rabat
Ingénieur Data Science,"Poste d'ingenieur data science pour developper des modeles de machine learning. Maitrise de Python, scikit-learn, pandas, TensorFlow requise. Experience en TF-IDF, NLP et traitement de donnees textuelles un plus. Master en informatique ou statistiques exige.",MarocData Analytics,https://example.com/offre/2,Casablanca
Développeur Fullstack Django React,"Recherche developpeur fullstack maitrisant Python Django cote backend et React cote frontend. Connaissance de SQL, REST API, Docker souhaitee. Travail en equipe agile, methodologie Scrum. 2 ans d'experience minimum en developpement web.",TechBridge Maroc,https://example.com/offre/3,Casablanca
Ingénieur Backend Python FastAPI,"Ingenieur backend specialise FastAPI et microservices. Vous concevrez des APIs performantes, travaillerez avec PostgreSQL, Redis et Docker sur une infrastructure cloud AWS. Experience avec architectures microservices et CI/CD demandee.",CloudNova Technologies,https://example.com/offre/4,Rabat
Stage PFE - Développement Python Machine Learning,"Stage de fin d'etudes pour etudiant en informatique. Sujet : developpement d'un systeme de recommandation utilisant Python, scikit-learn et TF-IDF. Encadrement par equipe data science senior. Possibilite d'embauche a l'issue du stage.",InnovLab Maroc,https://example.com/offre/5,Salé
Technicien Réseaux Cisco,"Technicien reseaux pour gestion d'infrastructure Cisco. Configuration de VLAN, routeurs, switchs. Maintenance DHCP et DNS. Certification CCNA appreciee. Astreinte occasionnelle.",NetworkPro Maroc,https://example.com/offre/6,Casablanca
Administrateur Systèmes Windows Server,"Administrateur systemes pour gestion d'infrastructure Windows Server et Active Directory. Virtualisation VMware, gestion des sauvegardes, supervision. 3 ans d'experience minimum en administration systeme.",InfraTech Solutions,https://example.com/offre/7,Rabat
Ingénieur DevOps Cloud,"Ingenieur DevOps pour gerer infrastructure cloud AWS et Azure. Docker, Kubernetes, Terraform, CI/CD avec GitHub Actions. Scripting Python pour automatisation. Experience en environnement de production critique.",SkyOps Solutions,https://example.com/offre/8,Casablanca
Développeur Frontend React TypeScript,"Developpeur frontend specialise React et TypeScript. Integration avec APIs REST backend Python/Django. Connaissance de Redux, Tailwind CSS appreciee. Sensibilite UI/UX et travail en mode agile.",Webify Maroc,https://example.com/offre/9,Rabat
Ingénieur Infrastructure Linux,"Ingenieur infrastructure specialise environnements Linux. Administration de serveurs, scripting Bash et Python, supervision de l'infrastructure. Connaissance DevOps et conteneurisation appreciee.",SysAdmin Pro Maroc,https://example.com/offre/10,Casablanca
Développeur Backend Python Junior,"Startup recherche developpeur backend junior Python. Stack Flask, SQLAlchemy, PostgreSQL. Environnement dynamique, montee en competences rapide. Profil junior avec stage significatif accepte.",StartUp Hub Casablanca,https://example.com/offre/11,Casablanca
Ingénieur Logiciel Full Stack,"Ingenieur logiciel full stack maitrisant Python backend et Vue.js frontend. Conception de bases de donnees SQL, API REST, tests unitaires avec pytest. Bac+5 informatique exige, 2 ans d'experience minimum.",DigitalCore Maroc,https://example.com/offre/12,Rabat
Technicien Informatique Support,"Technicien support informatique pour assistance utilisateurs et maintenance du parc informatique. Gestion des incidents, installation de postes, support reseau de base. Bonnes competences relationnelles requises.",Support Plus Maroc,https://example.com/offre/13,Casablanca
Développeur Python Django Senior,"Developpeur Python Django senior pour application metier complexe. Architecture logicielle, mentoring d'equipe junior, revue de code. 5 ans d'experience minimum en Python, maitrise de PostgreSQL et Docker exigee.",EnterpriseTech Maroc,https://example.com/offre/14,Casablanca
Ingénieur QA Automatisation Python,"Ingenieur QA pour automatisation de tests avec Python, Selenium, pytest. Mise en place de pipelines CI/CD pour tests automatises. Collaboration etroite avec equipes de developpement Agile.",QualityFirst Maroc,https://example.com/offre/15,Salé
